id,departamento,salario,idade
211,Engenharia,13429.35,22
212,Engenharia,6027.6,52
213,TI,6648.08,30
214,TI,9622.27,41
215,Diretoria,10448.24,38
216,Diretoria,12455.09,20
217,TI,9337.9,55
218,Vendas,8956.84,46
219,Engenharia,3472.54,60
220,RH,5379.28,34
221,Vendas,14018.45,41
222,Vendas,12864.6,55
223,Diretoria,11020.92,40
224,TI,5953.26,60
225,RH,5877.36,35
226,Vendas,7018.11,37
227,TI,5436.72,52
228,RH,4444.01,58
229,RH,3553.03,51
230,Engenharia,12950.28,20
231,Vendas,5759.61,23
232,RH,3931.99,58
233,Vendas,9939.89,36
234,Engenharia,11829.91,24
235,RH,12251.36,29
236,RH,14350.65,24
237,TI,14773.08,54
238,Engenharia,3342.22,39
239,Engenharia,8382.07,40
240,Engenharia,10127.56,20
241,TI,5261.66,63
242,Diretoria,11026.24,54
243,RH,12968.1,54
244,RH,9244.05,57
245,TI,12222.6,26
246,RH,6223.28,40
247,Vendas,13486.36,46
248,Marketing,14152.02,20
249,RH,8430.84,33
250,Engenharia,4993.02,57
251,Engenharia,13516.21,29
252,Diretoria,10951.8,39
253,Marketing,14438.4,47
254,Vendas,7753.96,48
255,Marketing,5479.97,36
256,Diretoria,6330.89,56
257,TI,13990.96,20
258,TI,8424.37,36
259,RH,14507.91,53
260,TI,3593.01,33
261,Engenharia,7377.28,24
262,Diretoria,6869.42,64
263,Vendas,5425.67,26
264,Vendas,5184.65,37
265,TI,13543.38,58
266,Marketing,6889.53,23
267,Vendas,7987.74,48
268,TI,12174.9,45
269,Engenharia,12501.52,56
270,RH,8239.74,53
271,RH,7480.95,57
272,TI,11843.47,61
273,Marketing,9358.68,61
274,Diretoria,9497.96,24
275,Marketing,9294.41,41
276,TI,14040.26,30
277,Diretoria,6719.12,65
278,Diretoria,7911.85,20
279,Engenharia,5340.7,34
280,Vendas,9162.84,62
281,TI,5715.95,59
282,TI,14011.77,54
283,RH,5320.75,33
284,Diretoria,13808.9,64
285,Engenharia,11595.44,47
286,RH,9349.7,60
287,RH,13326.58,38
288,RH,3924.25,53
289,TI,5012.16,44
290,Diretoria,5443.23,53
291,RH,7555.86,62
292,Marketing,13363.4,63
293,RH,11999.52,39
294,RH,7732.52,35
295,Vendas,11948.34,31
296,RH,11803.15,24
297,TI,14128.62,42
298,RH,13075.14,45
299,Diretoria,11273.1,50
300,Marketing,4646.29,56
301,Vendas,8661.21,45
302,Vendas,11969.19,24
303,Vendas,11149.85,21
304,Vendas,7461.52,47
305,RH,4757.2,38
306,Vendas,13359.98,62
307,TI,3215.3,21
308,Diretoria,7701.05,49
309,Engenharia,10725.42,54
310,Diretoria,13246.64,23
311,Engenharia,4815.7,53
312,Engenharia,14187.92,52
313,Vendas,7221.38,40
314,Vendas,4701.5,39
315,RH,5778.6,37
316,Vendas,6975.73,45
317,RH,11424.07,60
318,Marketing,12891.56,50
319,Diretoria,4373.37,40
320,RH,10861.33,27
321,Diretoria,8134.06,43
322,TI,7903.44,47
323,TI,10063.2,62
324,RH,10267.12,64
325,TI,10637.7,24
326,Diretoria,5679.0,46
327,Diretoria,4913.63,38
328,Vendas,9271.9,48
329,TI,13454.53,26
330,Engenharia,7060.67,39
331,RH,10400.84,43
332,Marketing,9181.99,55
333,Engenharia,12684.75,23
334,Marketing,14660.04,46
335,Diretoria,6333.32,33
336,Diretoria,12656.42,53
337,RH,13660.14,38
338,Engenharia,7742.71,61
339,TI,6651.43,28
340,Engenharia,10462.99,35
341,RH,14562.43,41
342,Marketing,3725.55,43
343,RH,9960.56,20
344,Marketing,11384.19,47
345,Diretoria,9479.74,65
346,Marketing,3524.54,22
347,Diretoria,11597.1,43
348,Diretoria,6783.5,30
349,Diretoria,7230.5,21
350,Engenharia,7670.21,56
351,Diretoria,13253.75,56
352,Engenharia,14438.19,35
353,Vendas,6950.3,24
354,Vendas,6994.58,44
355,Vendas,10740.43,26
356,Marketing,7628.73,65
357,Marketing,4732.82,25
358,Vendas,10292.91,44
359,RH,9042.65,50
360,Diretoria,12734.36,57
361,RH,4497.3,30
362,TI,5962.56,55
363,TI,10456.14,32
364,TI,12812.32,23
365,Marketing,6702.22,21
366,Engenharia,9179.1,26
367,Vendas,3850.0,48
368,Engenharia,11765.75,63
369,Engenharia,10063.61,44
370,TI,3951.7,22
371,Marketing,14375.52,65
372,TI,10120.66,44
373,Diretoria,14301.26,28
374,Engenharia,3910.68,39
375,Vendas,4645.54,61
376,RH,9270.11,60
377,Vendas,9188.88,49
378,RH,3585.52,51
379,RH,6897.61,49
380,Diretoria,8958.72,29
381,Vendas,13832.56,45
382,TI,10173.13,28
383,Marketing,5173.58,37
384,TI,3205.25,27
385,Diretoria,14474.72,48
386,Engenharia,6812.1,53
387,RH,13113.66,54
388,Vendas,11827.89,49
389,Engenharia,3611.24,24
390,Engenharia,11105.09,38
391,Vendas,3054.66,33
392,RH,6008.83,51
393,Marketing,4138.5,52
394,RH,4898.68,49
395,Diretoria,13291.49,58
396,Vendas,7848.81,41
397,Marketing,4358.41,31
398,RH,10958.21,63
399,Engenharia,5223.68,26
400,RH,12509.08,54
401,Vendas,11545.57,56
402,Vendas,13286.09,36
403,Engenharia,10548.75,53
404,Engenharia,7526.83,45
405,Engenharia,6918.18,48
406,Vendas,7870.16,27
407,Engenharia,4630.91,57
408,RH,7036.87,26
409,Engenharia,12573.89,65
410,Marketing,8200.88,52
411,RH,14651.11,44
412,TI,4829.3,28
413,RH,7444.98,41
414,TI,7172.16,32
415,Marketing,13225.18,20
416,TI,11844.33,49
417,Marketing,14025.63,43
418,Diretoria,9241.05,22
419,Engenharia,10056.13,43
420,Marketing,10395.85,52
421,Marketing,13513.31,57
422,Marketing,7631.27,39
423,Diretoria,8832.79,40
424,Marketing,10886.73,36
425,TI,5311.18,31
426,Diretoria,8674.06,21
427,Vendas,11737.15,30
428,RH,10558.29,55
429,Marketing,3778.05,52
430,TI,5246.96,45
431,Vendas,6228.08,58
432,TI,9522.6,46
433,RH,14644.2,51
434,Diretoria,7169.73,36
435,Vendas,9310.47,36
436,Marketing,10840.33,55
437,TI,9828.04,63
438,Diretoria,13681.45,39
439,Engenharia,7324.28,62
440,Vendas,6048.67,61
441,Vendas,13735.55,59
442,Marketing,11197.77,43
443,Engenharia,8029.16,47
444,Engenharia,6354.4,57
445,RH,13367.82,31
446,Marketing,5793.64,63
447,Diretoria,11802.05,56
448,Engenharia,7467.35,27
449,RH,9899.08,63
450,Vendas,11930.08,55
451,Vendas,4028.52,63
452,Diretoria,9116.68,51
453,Marketing,14104.36,27
454,Vendas,6860.16,50
455,Vendas,8077.86,46
456,Engenharia,6389.98,37
457,RH,4654.67,51
458,RH,10154.34,22
459,RH,7178.93,33
460,Marketing,7890.54,39
461,TI,3290.11,37
462,Diretoria,3148.78,28
463,Vendas,10601.88,63
464,Marketing,11964.89,42
465,Vendas,13400.35,51
466,Vendas,5010.19,20
467,Vendas,9503.99,40
468,Marketing,10773.22,44
469,Vendas,8817.86,32
470,TI,10452.01,26
471,RH,14751.87,31
472,Marketing,7382.75,49
473,Marketing,13535.16,65
474,TI,13734.35,31
475,Engenharia,4223.1,55
476,Diretoria,8420.05,21
477,Vendas,8733.99,24
478,TI,10794.41,61
479,RH,3157.11,56
480,Vendas,5627.15,31
481,RH,9045.8,52
482,Marketing,13605.94,40
483,Diretoria,7187.85,38
484,Engenharia,10421.0,61
485,Vendas,6343.8,50
486,Diretoria,5574.42,56
487,TI,7455.65,24
488,RH,13306.16,38
489,TI,5307.03,47
490,Marketing,4090.0,36
491,TI,13625.0,64
492,Diretoria,10982.63,30
493,TI,12762.09,35
494,TI,14929.1,26
495,Engenharia,13312.11,40
496,Vendas,11079.7,59
497,RH,14015.62,53
498,TI,7753.46,60
499,RH,13558.37,60
500,Vendas,8034.79,51
501,Diretoria,13468.88,37
502,TI,6735.24,25
503,Diretoria,14729.13,21
504,Vendas,11773.01,51
505,Diretoria,5938.08,40
506,Diretoria,6174.29,65
507,Vendas,7785.82,35
508,TI,13726.51,55
509,TI,5569.61,54
510,TI,9922.53,36
511,Engenharia,13844.59,54
512,Diretoria,9620.44,26
513,TI,13369.1,47
514,Marketing,12543.89,45
515,Marketing,13444.39,59
516,Diretoria,3315.89,23
517,TI,3077.56,48
518,Diretoria,14377.54,27
519,RH,3510.85,32
520,TI,10370.44,30
521,RH,14963.77,34
522,Engenharia,14058.8,48
523,Vendas,6078.89,41
524,Engenharia,9103.93,29
525,TI,9641.71,24
526,Engenharia,10380.63,61
527,TI,8673.46,26
528,Diretoria,12422.53,29
529,TI,12506.5,26
530,Engenharia,9492.89,35
531,TI,10830.99,28
532,Engenharia,6565.81,56
533,RH,11759.03,23
534,Marketing,8676.26,51
535,Marketing,8313.85,48
536,Marketing,13966.02,30
537,Vendas,3028.51,22
538,Engenharia,8938.16,45
539,Engenharia,13877.78,25
540,Diretoria,12481.82,61
541,Vendas,12940.83,59
542,TI,13746.72,60
543,TI,9648.78,45
544,RH,12676.1,55
545,Vendas,11315.83,27
546,Vendas,8590.64,20
547,Engenharia,6875.11,34
548,Vendas,3877.18,57
549,Diretoria,9395.7,35
550,Diretoria,5527.65,36
551,Marketing,10003.77,50
552,TI,9460.98,63
553,TI,4596.2,59
554,Engenharia,14164.49,51
555,TI,4692.75,40
556,RH,10958.78,27
557,RH,14557.54,21
558,Engenharia,11771.4,56
559,RH,7263.06,61
560,RH,14142.1,46
561,Marketing,6606.14,23
562,Vendas,12530.46,63
563,Vendas,8896.51,37
564,Vendas,5660.18,35
565,Marketing,10374.75,53
566,Diretoria,6837.58,23
567,TI,10885.58,46
568,Marketing,11733.37,26
569,RH,8013.17,49
570,RH,10984.22,64
571,TI,13238.9,54
572,Engenharia,9287.02,60
573,RH,11142.3,57
574,Diretoria,12981.05,38
575,Engenharia,4609.62,43
576,RH,8643.94,26
577,Diretoria,14003.47,52
578,RH,3531.73,45
579,Vendas,10780.52,33
580,TI,9006.46,42
581,Marketing,8690.65,63
582,TI,7278.03,42
583,TI,12248.0,42
584,Diretoria,14976.8,47
585,TI,5855.32,28
586,RH,4419.63,27
587,Diretoria,13398.68,65
588,RH,3558.11,32
589,Marketing,3301.97,34
590,Engenharia,10250.9,34
591,Engenharia,13898.34,56
592,Marketing,14609.31,40
593,TI,11137.77,53
594,Vendas,10421.24,31
595,Diretoria,3119.62,36
596,RH,10151.31,41
597,Diretoria,11251.52,59
598,TI,9682.7,22
599,Diretoria,10873.02,36
600,Diretoria,11714.51,62
601,RH,9359.01,29
602,Engenharia,11902.21,56
603,Diretoria,5699.65,22
604,TI,10376.07,24
605,TI,8039.75,53
606,RH,10644.53,46
607,Vendas,10700.32,48
608,TI,13515.65,20
609,TI,5251.23,50
610,Diretoria,5410.68,45
611,RH,8422.99,39
612,Marketing,4846.08,46
613,Engenharia,5442.15,58
614,TI,7651.27,25
615,Engenharia,5341.99,37
616,Vendas,11400.72,24
617,Vendas,8101.82,40
618,Diretoria,10959.44,36
619,TI,11259.33,58
620,Diretoria,9030.09,51
621,Engenharia,13406.54,22
622,Vendas,3232.81,57
623,Vendas,12087.08,63
624,TI,6206.13,36
625,TI,12181.06,53
626,Diretoria,6592.78,43
627,Engenharia,4091.28,38
628,TI,13244.24,47
629,Vendas,7909.75,47
630,Diretoria,6197.5,38
631,TI,6190.2,33
632,Engenharia,7335.54,21
633,Vendas,7780.66,52
634,Marketing,12305.02,39
635,Engenharia,6382.06,52
636,Marketing,9837.21,46
637,Engenharia,9455.41,41
638,RH,3462.0,48
639,Engenharia,9662.26,42
640,TI,5532.82,42
641,Engenharia,5581.65,64
642,Vendas,7278.3,62
643,TI,11224.65,58
644,TI,3865.08,44
645,Diretoria,10641.98,39
646,Engenharia,13476.17,31
647,RH,4222.58,36
648,Diretoria,14166.94,46
649,RH,14939.75,53
650,Diretoria,9052.4,49
651,TI,8709.69,34
652,Engenharia,9420.76,22
653,RH,5827.39,59
654,Vendas,4359.42,36
655,Vendas,10365.25,27
656,Diretoria,12713.36,28
657,Marketing,8544.53,36
658,RH,11568.51,53
659,Diretoria,6929.21,65
660,Vendas,4907.53,23
661,TI,3081.97,24
662,TI,3216.24,57
663,Engenharia,10672.24,38
664,TI,13703.24,47
665,Marketing,13948.47,31
666,TI,11714.57,21
667,Vendas,13285.16,63
668,Vendas,10491.48,24
669,Diretoria,12949.36,40
670,TI,12242.95,62
671,Vendas,13842.47,30
672,Diretoria,4459.52,26
673,Diretoria,12978.6,54
674,Marketing,7571.95,48
675,Vendas,7201.94,63
676,Marketing,12781.33,61
677,Vendas,5164.52,22
678,TI,13164.72,49
679,Marketing,5839.38,44
680,RH,9018.76,25
681,Marketing,5630.11,57
682,Marketing,7771.55,28
683,Marketing,13012.59,43
684,RH,5441.15,34
685,Engenharia,6386.33,54
686,TI,11491.41,53
687,TI,10875.15,56
688,Marketing,6177.12,44
689,Engenharia,13506.11,33
690,Vendas,8464.09,35
691,Vendas,11355.07,50
692,Vendas,10031.54,43
693,Vendas,4151.78,47
694,Marketing,5811.66,27
695,RH,12467.79,52
696,TI,11561.59,46
697,Vendas,9262.9,63
698,TI,5388.61,29
699,Marketing,6303.78,32
700,RH,7303.79,31
701,RH,8622.68,24
702,Marketing,14828.78,24
703,Engenharia,13407.47,35
704,TI,14124.87,28
705,Diretoria,3939.06,54
706,TI,4882.84,28
707,RH,10369.84,62
708,Diretoria,3334.2,26
709,Diretoria,3670.72,63
710,Vendas,14015.24,62
711,Vendas,9860.75,34
712,Marketing,4802.81,26
713,Diretoria,4686.01,43
714,RH,14545.12,63
715,Vendas,4510.41,23
716,RH,5334.08,51
717,Vendas,9296.82,64
718,RH,3586.39,60
719,Engenharia,9653.82,53
720,Marketing,6072.76,57
721,Engenharia,3812.95,64
722,TI,11067.3,24
723,Diretoria,3630.75,35
724,Marketing,3274.64,41
725,Engenharia,9477.7,36
726,Marketing,8492.94,56
727,Marketing,4699.02,58
728,Diretoria,7777.96,34
729,Engenharia,8717.99,30
730,Diretoria,13322.02,63
731,Vendas,8180.29,21
732,Vendas,11164.85,60
733,RH,10009.42,63
734,Diretoria,5758.19,33
735,Vendas,11666.81,28
736,Engenharia,4366.64,64
737,TI,8692.93,34
738,Engenharia,10096.47,28
739,Vendas,13162.64,48
740,TI,8852.53,38
741,Diretoria,5025.43,61
742,RH,3570.44,39
743,Engenharia,14530.68,37
744,TI,4578.39,53
745,Vendas,10317.96,28
746,Vendas,11850.37,43
747,Marketing,6082.28,21
748,RH,10007.94,36
749,Marketing,5126.53,29
750,Vendas,13938.15,48
751,Vendas,11437.12,41
752,Vendas,8653.86,22
753,RH,7545.12,33
754,TI,6669.21,53
755,Engenharia,6977.07,52
756,TI,3055.01,56
757,Marketing,5304.22,52
758,Marketing,5186.64,36
759,Diretoria,10325.15,41
760,Marketing,6146.24,32
761,Vendas,8415.09,24
762,Diretoria,11025.45,25
763,RH,3790.58,61
764,Vendas,5350.29,41
765,Diretoria,10372.86,53
766,Diretoria,10112.93,40
767,Marketing,10151.69,51
768,TI,3814.86,30
769,Engenharia,7616.77,43
770,Engenharia,13872.56,49
771,Engenharia,8161.44,20
772,TI,3917.83,54
773,Marketing,12117.4,57
774,Marketing,4735.59,55
775,Diretoria,7905.48,43
776,TI,11125.29,34
777,Engenharia,13106.15,38
778,TI,5602.97,31
779,Vendas,11686.78,48
780,RH,7666.19,21
781,Marketing,12835.31,46
782,Diretoria,10921.09,54
783,RH,14799.97,48
784,RH,14386.22,32
785,TI,8177.14,23
786,TI,11445.57,55
787,RH,3011.79,42
788,Engenharia,11966.43,38
789,Engenharia,4244.46,25
790,Vendas,12110.3,38
791,Diretoria,13617.23,50
792,Diretoria,13821.61,27
793,Engenharia,14476.97,61
794,Diretoria,11796.9,55
795,TI,10719.27,39
796,TI,3741.3,60
797,Engenharia,7634.48,33
798,RH,13884.2,38
799,RH,13890.64,28
800,Vendas,11604.47,46
801,RH,9856.83,49
802,Diretoria,8519.65,57
803,TI,11246.96,37
804,RH,3867.31,63
805,Diretoria,13910.94,46
806,Marketing,3909.82,27
807,Engenharia,3621.62,63
808,Engenharia,14511.86,60
809,Diretoria,3102.68,59
810,TI,12803.73,63
811,TI,7113.15,36
812,Marketing,12424.4,43
813,RH,10587.43,34
814,TI,7208.37,24
815,Vendas,9303.39,26
816,TI,9568.2,45
817,RH,5941.83,23
818,TI,8907.54,26
819,TI,6521.16,33
820,Marketing,14290.29,22
821,TI,4662.82,24
822,TI,7493.69,55
823,Vendas,7585.03,56
824,TI,9760.42,26
825,Vendas,12159.76,54
826,Vendas,8021.53,50
827,Vendas,3660.9,26
828,RH,5160.03,30
829,TI,6743.97,64
830,Engenharia,13017.87,37
831,Vendas,11551.26,21
832,RH,13321.78,24
833,Engenharia,5354.95,36
834,Marketing,5003.98,60
835,Marketing,7488.28,52
836,TI,14525.04,21
837,Marketing,5314.2,57
838,TI,7240.46,46
839,TI,11724.9,53
840,Marketing,14252.11,61
841,Vendas,13650.39,41
842,Diretoria,14547.85,29
843,Marketing,13546.71,32
844,RH,6698.04,23
845,Engenharia,5514.1,46
846,Marketing,10621.58,45
847,TI,10560.22,35
848,Engenharia,8970.76,45
849,Marketing,8255.38,61
850,TI,10592.74,24
851,Marketing,11043.79,43
852,Diretoria,11365.12,35
853,Marketing,9112.99,59
854,TI,6967.45,51
855,Engenharia,11628.67,38
856,Engenharia,14347.08,38
857,Engenharia,14362.96,34
858,Vendas,12008.07,35
859,Engenharia,5151.58,28
860,Vendas,6815.39,41
861,Vendas,10537.64,47
862,Engenharia,6833.8,20
863,Engenharia,13734.29,54
864,Vendas,13374.58,42
865,Marketing,13104.99,24
866,Marketing,3028.83,22
867,Diretoria,13523.44,41
868,Vendas,6347.35,48
869,Marketing,13672.63,43
870,Engenharia,5489.29,22
871,RH,7606.39,38
872,Engenharia,8711.65,35
873,RH,4876.98,63
874,TI,9167.4,41
875,Engenharia,8640.55,62
876,RH,4080.47,34
877,Vendas,7306.65,48
878,TI,13345.3,21
879,Vendas,12906.09,65
880,Engenharia,13884.5,44
881,RH,6935.82,33
882,Diretoria,11911.61,31
883,TI,13297.48,30
884,Vendas,9562.63,59
885,Engenharia,9441.19,57
886,Vendas,6026.02,35
887,Engenharia,5611.4,56
888,RH,13389.97,25
889,Diretoria,6663.28,22
890,Vendas,14960.41,23
891,RH,5149.94,60
892,Marketing,10111.89,24
893,Diretoria,14427.7,36
894,Engenharia,4082.3,46
895,Engenharia,3157.4,56
896,TI,4813.86,51
897,Engenharia,5524.79,56
898,Marketing,11443.55,33
899,TI,14497.92,32
900,Vendas,8556.3,38
901,Vendas,7532.41,22
902,Marketing,4296.22,54
903,Diretoria,13100.63,54
904,RH,9168.5,65
905,RH,4313.44,20
906,Engenharia,5251.02,21
907,Engenharia,13407.77,58
908,TI,4052.94,53
909,Vendas,8313.36,34
910,Marketing,3815.42,41
911,Diretoria,12528.38,37
912,RH,8120.11,57
913,TI,11651.71,33
914,Vendas,5788.27,26
915,TI,8428.07,41
916,TI,11400.31,35
917,RH,6233.31,49
918,Vendas,13440.06,60
919,Vendas,8779.4,21
920,Diretoria,8554.67,44
921,Marketing,6165.37,37
922,TI,3078.8,37
923,Engenharia,5418.81,32
924,RH,8879.05,61
925,Engenharia,9801.75,48
926,TI,8227.85,60
927,Engenharia,7458.87,32
928,Engenharia,9101.14,33
929,RH,4148.23,40
930,Engenharia,3515.56,29
931,TI,11000.79,41
932,Engenharia,4952.86,37
933,Diretoria,6442.92,48
934,TI,5423.14,64
935,Engenharia,11886.89,45
936,RH,6284.76,34
937,Engenharia,10296.92,47
938,Marketing,11645.43,44
939,RH,7906.15,55
940,Vendas,9376.19,46
941,TI,8136.09,62
942,Engenharia,6154.16,55
943,Marketing,9747.54,57
944,Diretoria,6734.2,37
945,Diretoria,13247.82,33
946,TI,5847.97,21
947,Vendas,3427.72,63
948,Marketing,12634.15,33
949,Diretoria,3198.91,39
950,Vendas,4443.06,26
951,Diretoria,3660.6,36
952,RH,7150.31,60
953,RH,7937.94,62
954,TI,13343.52,63
955,Diretoria,13971.66,51
956,TI,5981.09,54
957,TI,3122.07,27
958,Marketing,3816.51,44
959,Engenharia,14496.87,34
960,Vendas,11773.19,48
961,Vendas,12784.96,46
962,RH,11869.87,47
963,Marketing,9875.38,50
964,Marketing,7408.12,43
965,Engenharia,8277.23,49
966,Diretoria,14552.7,28
967,Vendas,11915.2,50
968,Engenharia,13536.87,32
969,Vendas,4728.7,60
970,Diretoria,10414.87,22
971,Engenharia,12854.06,39
972,RH,11631.72,38
973,Engenharia,3258.92,35
974,Diretoria,5257.26,48
975,Marketing,7262.99,39
976,RH,10898.55,23
977,Vendas,13517.89,20
978,Marketing,4544.49,31
979,TI,5757.4,60
980,Engenharia,13381.8,28
981,Marketing,9148.53,49
982,Diretoria,5620.31,22
983,Vendas,3523.69,25
984,Diretoria,4651.04,28
985,TI,4236.39,53
986,TI,8253.81,56
987,TI,11172.68,33
988,Vendas,6800.16,46
989,Engenharia,10366.98,64
990,RH,12157.48,62
991,Diretoria,8938.44,30
992,TI,3849.27,58
993,Diretoria,6810.8,56
994,Diretoria,10919.64,21
995,Marketing,8429.58,28
996,Diretoria,10822.04,58
997,Engenharia,5582.77,48
998,Marketing,8527.62,42
999,Vendas,5509.73,21
1000,Diretoria,9431.23,46
1001,RH,14331.66,38
1002,Marketing,14180.37,38
1003,TI,14573.84,36
1004,Vendas,3772.75,24
1005,Engenharia,11399.89,32
1006,Engenharia,5367.65,36
1007,Marketing,9579.5,28
1008,Engenharia,12955.67,22
1009,Marketing,10893.48,27
1010,Engenharia,8943.71,21
1011,Diretoria,4530.56,33
1012,Marketing,13038.39,27
1013,Vendas,9671.85,65
1014,Engenharia,3141.69,29
1015,Diretoria,8246.33,50
1016,Engenharia,6565.43,39
1017,Vendas,10409.73,64
1018,Engenharia,10025.95,25
1019,RH,6220.11,64
1020,Marketing,6297.78,61
1021,Vendas,9231.52,24
1022,Diretoria,14208.16,61
